MARKET,NUMER SKLEPU,IP
Góra 1,10183,10.81.83.100
Nowa Wieś Wielka,10184,10.81.84.100
Orzechowo,10185,10.81.85.100
Szydłowo,10186,10.81.86.100
Babiak,10187,10.81.87.100
Malczyce,10188,10.81.88.100
Rzeczyca,10189,10.81.89.100
Żerków 1,10190,10.81.90.100
Człopa,10191,10.81.91.100
Golina 3,10192,10.81.92.100
Jawor 1,10193,10.81.93.100
Kalisz Godebskiego 1,10194,10.81.94.100
Komprachcice,10195,10.81.95.100
Krotoszyn 7,10196,10.81.96.100
Nowa Ruda 1,10197,10.81.97.100
Przedecz,10199,10.81.99.100
Torzym,10201,10.82.1.100
Borek Wlkp. 1,10202,10.82.2.100
Biała (opolskie),10203,10.82.3.100
Chrząstowice 1,10204,10.82.4.100
Modrzyca,10205,10.82.5.100
Żory 1,10206,10.82.6.100
Deszczno,10207,10.82.7.100
Kutno 1,10208,10.82.8.100
Wilczogóra,10209,10.82.9.100
Bierzwnik,10210,10.82.10.100
Domaniewice,10211,10.82.11.100
Olesno,10212,10.82.12.100
Ornontowice,10213,10.82.13.100
Dąbie,10214,10.82.14.100
Ostrów 10,10215,10.82.15.100
Lubniewice,10216,10.82.16.100
Wińsko,10217,10.82.17.100
Margonin,10218,10.82.18.100
Białośliwie,10219,10.82.19.100
Kożuchów 1,10220,10.82.20.100
Inowrocław 1,10221,10.82.21.100
Łask 1,10222,10.82.22.100
Topola Mała,10223,10.82.23.100
Kiszkowo,10224,10.82.24.100
Boronów,10225,10.82.25.100
Moszczenica,10226,10.82.26.100
Budzyń 1,10227,10.82.27.100
Łubowo,10228,10.82.28.100
Rudziniec,10229,10.82.29.100
Chocianów 1,10230,10.82.30.100
Kamienna Góra 1,10231,10.82.31.100
Niemcza 1,10232,10.82.32.100
Stronie Śląskie,10233,10.82.33.100
Szlichtyngowa 1,10234,10.82.34.100
Turek 1,10235,10.82.35.100
Wyry 1,10236,10.82.36.100
Stawiszyn,10237,10.82.37.100
Krotoszyn 8,10238,10.82.38.100
Tułowice,10239,10.82.39.100
Nowe Miasteczko 1,10240,10.82.40.100
Dobrcz,10241,10.82.41.100
Radomsko 1,10242,10.82.42.100
Warta 1,10243,10.82.43.100
Galewice,10244,10.82.44.100
Bedlno,10245,10.82.45.100
Jerka,10246,10.82.46.100
Namysłów 1,10247,10.82.47.100
Kobyla Góra,10248,10.82.48.100
Cielcza,10249,10.82.49.100
Chełmsko Śląskie 1,10250,10.82.50.100
Radków,10251,10.82.51.100
Kobiele Wielkie 1,10252,10.82.52.100
Pełczyce 1,10253,10.82.53.100
Ręczno 1,10254,10.82.54.100
Włocławek 1,10255,10.82.55.100
Rudna,10256,10.82.56.100
Nowogrodziec 1,10257,10.82.57.100
Łódź 2,10258,10.82.58.100
Choceń 1,10259,10.82.59.100
Wojciechówka 1,10260,10.82.60.100
Wysoka 1,10261,10.82.61.100
Czarnków 1,10262,10.82.62.100
Łazy 1,10263,10.82.63.100
Miedziana Góra 1,10264,10.82.64.100
Mosina 1,10265,10.82.65.100
Walce 1,10266,10.82.66.100
Świebodzin 1,10267,10.82.67.100
Pniewy 1,10268,10.82.68.100
Dobroszyce Lipowa,10270,10.82.70.100
Bierutów 1,10271,10.82.71.100
Pudliszki 1,10272,10.82.72.100
Dopiewo 2,10273,10.82.73.100
Czarnocin 1,10274,10.82.74.100
Nieborów 1,10275,10.82.75.100
Twardogóra 1,10276,10.82.76.100
Witaszyce 1,10277,10.82.77.100
Sława 1,10278,10.82.78.100
Chybie 1,10279,10.82.79.100
Cisek 1,10280,10.82.80.100
Czerniejewo 1,10281,10.82.81.100
Głogów 1,10282,10.82.82.100
Gorzyce 1,10283,10.82.83.100
Jasień 1,10284,10.82.84.100
Kalisz 2,10285,10.82.85.100
Kamień Krajeński 1,10286,10.82.86.100
Kaźmierz 1,10287,10.82.87.100
Kietrz 1,10288,10.82.88.100
Krotoszyn 9,10289,10.82.89.100
Legnica 3,10290,10.82.90.100
Legnica 4,10291,10.82.91.100
Lipka 1,10292,10.82.92.100
Łagiewniki 1,10293,10.82.93.100
Łódź 3,10294,10.82.94.100
Mechnice 1,10295,10.82.95.100
Mieścisko 1,10296,10.82.96.100
Nekla 1,10297,10.82.97.100
Ożarowice 1,10298,10.82.98.100
Panki 1,10299,10.82.99.100
Pieńsk 1,10300,10.83.0.100
Racula 1,10301,10.83.1.100
Reńska Wieś 1,10302,10.83.2.100
Rychtal 1,10303,10.83.3.100
Siekierczyn 1,10304,10.83.4.100
Sieradz 1,10305,10.83.5.100
Sompolno 2,10306,10.83.6.100
Suchań 1,10307,10.83.7.100
Suszec 1,10308,10.83.8.100
Tomaszów Mazowiecki 1,10309,10.83.9.100
Tryszczyn 1,10310,10.83.10.100
Wągrowiec 1,10311,10.83.11.100
Wrocław 9,10312,10.83.12.100
Zgierz 1,10313,10.83.13.100
Żary 1,10314,10.83.14.100
Żory 2,10315,10.83.15.100
Żyrardów 1,10316,10.83.16.100
Baczyna 1,10317,10.83.17.100
Bądkowo 1,10318,10.83.18.100
Bliżyn 1,10320,10.83.20.100
Bogatynia 1,10321,10.83.21.100
Chocz 1,10323,10.83.23.100
Dłutów 1,10324,10.83.24.100
Dobra 1,10325,10.83.25.100
Pławno 1,10327,10.83.27.100
Gierałtowice 1,10328,10.83.28.100
Gromadka 1,10329,10.83.29.100
Jankowice 1,10332,10.83.32.100
Kalety 1,10333,10.83.33.100
Kiekrz 1,10335,10.83.35.100
Krzeszyce 1,10337,10.83.37.100
Leśniów Wielki 1,10340,10.83.40.100
Lubawka 1,10341,10.83.41.100
Lubiąż 1,10342,10.83.42.100
Lubomierz 1,10343,10.83.43.100
Łękawica 1,10344,10.83.44.100
Łomnica 1,10345,10.83.45.100
Mieroszów 1,10346,10.83.46.100
Mokrsko 1,10348,10.83.48.100
Mszana 1,10349,10.83.49.100
Nowa Brzeźnica 1,10350,10.83.50.100
Obra 1,10351,10.83.51.100
Olszyna 1,10352,10.83.52.100
Opatówek 1,10353,10.83.53.100
Orzesze 1,10354,10.83.54.100
Osie 1,10355,10.83.55.100
Ostrów 11,10357,10.83.57.100
Pakość 1,10359,10.83.59.100
Przystajń 1,10361,10.83.61.100
Radomsko 2,10362,10.83.62.100
Rostarzewo 1,10363,10.83.63.100
Rząśnia 1,10365,10.83.65.100
Rzuchów 1,10366,10.83.66.100
Sieradz 2,10368,10.83.68.100
Słońsk 1,10370,10.83.70.100
Sokolniki 2,10371,10.83.71.100
Szprotawa 2,10374,10.83.74.100
Świerklaniec 1,10375,10.83.75.100
Tomaszów Mazowiecki 2,10376,10.83.76.100
Tomaszów Mazowiecki 3,10377,10.83.77.100
Trablice 1,10378,10.83.78.100
Tuchola 1,10379,10.83.79.100
Ujazd 1,10380,10.83.80.100
Wieleń 1,10382,10.83.82.100
Wierzbica 1,10383,10.83.83.100
Wleń 1,10386,10.83.86.100
Włocławek 3,10388,10.83.88.100
Wrocław 4,10390,10.83.90.100
Zagórów 1,10392,10.83.92.100
Zakrzewo 1,10393,10.83.93.100
Zebrzydowice 1,10394,10.83.94.100
Biedrusko 2,10395,10.83.95.100
Bolków 1,10397,10.83.97.100
Bolesławiec 1,10398,10.83.98.100
Jastrowie 1,10399,10.83.99.100
Kalisz 3,10401,10.84.1.100
Lipno (KujPom) 1,10403,10.84.3.100
Nowa Ruda 2,10404,10.84.4.100
Opole 1,10405,10.84.5.100
Trzebnica 2,10406,10.84.6.100
Wołów 2,10407,10.84.7.100
Wrocław 12,10408,10.84.8.100
Wrocław 13,10409,10.84.9.100
Wrocław 14,10410,10.84.10.100
Żyrardów 2,10411,10.84.11.100
Bojszowy 1,10412,10.84.12.100
Dziadowa Kłoda 1,10413,10.84.13.100
Laskowice 1,10414,10.84.14.100
Lutomiersk 1,10415,10.84.15.100
Ośno Lubuskie 1,10416,10.84.16.100
Sadki 1,10417,10.84.17.100
Tuczno (zach-pom) 1,10418,10.84.18.100
Walim 1,10419,10.84.19.100
Złotów 1,10420,10.84.20.100
Damasławek 1,10421,10.84.21.100
Grudziądz 1,10422,10.84.22.100
Zduńska Wola 2,10423,10.84.23.100
Barlinek 1,10424,10.84.24.100
Kąkolewo 1,10425,10.84.25.100
Woźniki 1,10426,10.84.26.100
Choszczno 1,10427,10.84.27.100
Ostrów 12,10429,10.84.29.100
Wałbrzych 1,10430,10.84.30.100
Kluczbork 1,10432,10.84.32.100
Kikół 1,10433,10.84.33.100
Międzyrzecz 1,10435,10.84.35.100
Mysłakowice 1,10436,10.84.36.100
Baranowo 1,10438,10.84.38.100
Chałupki 1,10440,10.84.40.100
Chełm Śląski 1,10441,10.84.41.100
Chludowo 1,10442,10.84.42.100
Duszniki Zdrój 1,10443,10.84.43.100
Gostyń 3,10444,10.84.44.100
Krzeszów 1,10445,10.84.45.100
Lubochnia 1,10447,10.84.47.100
Łubnice 1,10448,10.84.48.100
Nowa Sól 1,10449,10.84.49.100
Opole 3,10450,10.84.50.100
Piława Górna 1,10451,10.84.51.100
Poznań 1,10452,10.84.52.100
Stary Kisielin 1,10453,10.84.53.100
